scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
cancellation-increasing-number-of-states,97,149,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,472233,3833,11067,7,2831,8644,32,0,0,0,4,2221,474589,0,passed,4,1,5,1
cancellation-increasing-number-of-states,98,150,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,584842,7743,23597,13,5611,17439,92,0,0,0,5,5423,590465,0,passed,4,1,5,1
cancellation-increasing-number-of-states,99,151,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,456462,4857,17175,0,3424,12706,36,0,0,0,4,2736,459325,0,passed,4,1,5,1
cancellation-increasing-number-of-states,0,52,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,7,40,889907,27168,92700,162,19114,67861,66,0,0,0,7,15794,906068,0,passed,8,2,8,2
cancellation-increasing-number-of-states,1,53,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,6,34,749035,14841,49297,60,11073,38674,11,0,0,0,6,8126,757403,0,passed,8,3,9,3
cancellation-increasing-number-of-states,2,54,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,8,51,1009982,42279,179784,97,30533,133634,101,0,0,0,8,24277,1034625,0,passed,8,3,9,3
cancellation-increasing-number-of-states,3,55,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,7,41,880793,31122,115231,122,22188,84469,69,0,0,0,7,18108,899194,0,passed,8,2,8,2
cancellation-increasing-number-of-states,4,56,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,8,48,973021,24405,96522,70,19300,79857,21,0,0,0,8,14149,987541,0,passed,8,2,9,2
cancellation-increasing-number-of-states,5,57,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,9,52,1071030,29863,106179,101,23986,89257,117,0,0,0,9,17480,1088912,0,passed,8,2,9,2
cancellation-increasing-number-of-states,6,58,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,9,50,1084691,30515,109736,63,24839,92304,86,0,0,0,9,17668,1102767,0,passed,8,1,9,1
cancellation-increasing-number-of-states,7,59,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,9,52,1096894,51277,202681,167,40665,161417,161,0,0,0,9,30514,1127857,0,passed,8,1,9,1
cancellation-increasing-number-of-states,8,60,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,7,44,851826,21821,76574,77,16590,61176,90,0,0,0,7,12426,864559,0,passed,8,2,9,2
cancellation-increasing-number-of-states,9,61,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,8,46,977132,27359,93407,60,19499,71053,84,0,0,0,8,15308,992789,0,passed,8,3,9,3
cancellation-increasing-number-of-states,10,62,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,9,51,1105136,44746,162464,56,34416,126818,141,0,0,0,9,25173,1130734,0,passed,8,1,8,1
cancellation-increasing-number-of-states,11,63,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,9,48,1091183,35133,125468,97,27680,100159,94,0,0,0,9,20003,1111668,0,passed,8,1,9,1
cancellation-increasing-number-of-states,12,64,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,6,34,735202,14385,45924,11,10702,35917,44,0,0,0,6,7975,743426,0,passed,8,3,9,3
cancellation-increasing-number-of-states,13,65,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,8,48,983528,25003,87919,41,19615,71893,126,0,0,0,8,14362,998264,0,passed,8,2,9,2
cancellation-increasing-number-of-states,14,66,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,8,49,988473,46983,171292,74,34668,128838,153,0,0,0,8,26333,1015168,0,passed,8,2,9,2
cancellation-increasing-number-of-states,15,67,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,8,50,986796,39949,148111,39,28714,108955,326,0,0,0,8,22339,1009537,0,passed,8,2,9,2
cancellation-increasing-number-of-states,16,68,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,8,44,1000119,40531,150855,132,31587,119134,121,0,0,0,8,23811,1024391,0,passed,8,1,9,1
cancellation-increasing-number-of-states,17,69,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,9,50,1124381,43943,146343,159,34473,116374,83,0,0,0,9,25414,1150291,0,passed,8,1,9,1
cancellation-increasing-number-of-states,18,70,cancellation,8,4,3,4,6,0.8,0.3,5,2,0,0,6,35,769911,23873,84536,80,17695,64595,32,0,0,0,6,14106,784301,0,passed,8,2,9,2
